Folder name,Clip Name,Image Number,DateTime,Temperature,Humidity,Precipitation,Dew Point,Wind Direction,Wind Speed,Sun Radiation Intensity,Min of sunshine latest 10 min
20200514,clip_0_1331,5,2020-05-14 13:31:00,10.0,59,0.0,2.4,289,7.7,845,10.0
20200514,clip_23_2335,115,2020-05-14 23:35:00,5.5,77,0.0,1.9,274,3.3,0,0.0
20200514,clip_11_1812,5,2020-05-14 18:12:00,7.5,81,0.0,4.4,260,5.0,56,0.0
20200514,clip_16_2032,115,2020-05-14 20:32:00,6.5,89,0.0,4.8,257,3.2,0,0.0
20200514,clip_7_1647,5,2020-05-14 16:47:00,8.7,62,0.0,1.8,268,5.6,173,0.0
20200514,clip_4_1523,115,2020-05-14 15:23:00,9.8,50,0.0,0.0,279,7.7,579,10.0
20200514,clip_20_2224,54,2020-05-14 22:24:00,6.0,89,0.0,4.3,253,3.2,0,0.0
20200514,clip_10_1744,87,2020-05-14 17:44:00,8.3,69,0.0,3.0,254,5.4,100,1.0
20200514,clip_13_1908,115,2020-05-14 19:08:00,7.2,81,0.0,4.2,252,4.0,8,0.0
20200514,clip_2_1427,47,2020-05-14 14:27:00,9.8,60,0.0,2.3,276,5.4,612,9.0
20200514,clip_18_2128,5,2020-05-14 21:28:00,6.0,88,0.0,4.1,253,3.3,0,0.0
20200514,clip_15_2004,18,2020-05-14 20:04:00,6.8,89,0.0,5.1,252,3.9,0,0.0
20200514,clip_22_2307,46,2020-05-14 23:07:00,5.8,79,0.0,2.4,275,3.4,0,0.0
20200514,clip_12_1840,5,2020-05-14 18:40:00,7.0,85,0.0,4.6,259,4.2,22,0.0
20200514,clip_8_1715,62,2020-05-14 17:15:00,8.4,66,0.0,2.3,265,4.8,76,0.0
20200514,clip_1_1359,105,2020-05-14 13:59:00,10.2,57,0.0,2.2,281,7.3,603,6.5
20200514,clip_19_2156,29,2020-05-14 21:56:00,6.2,87,0.0,4.2,250,2.9,0,0.0
20200514,clip_5_1551,115,2020-05-14 15:51:00,9.6,57,0.0,1.6,282,6.8,504,10.0
20200514,clip_6_1619,5,2020-05-14 16:19:00,8.5,62,0.0,1.6,275,6.0,247,3.0
20200514,clip_3_1455,81,2020-05-14 14:55:00,9.9,53,0.0,0.8,270,7.1,666,10.0
20200514,clip_21_2239,82,2020-05-14 22:39:00,6.0,88,0.0,4.1,262,3.1,0,0.0
20200514,clip_17_2100,5,2020-05-14 21:00:00,6.1,87,0.0,4.1,259,3.1,0,0.0
20200514,clip_14_1936,5,2020-05-14 19:36:00,6.8,88,0.0,4.9,250,3.9,1,0.0
20200514,clip_9_1743,57,2020-05-14 17:43:00,8.3,69,0.0,3.0,254,5.4,100,1.0
20200514,clip_18_2128,115,2020-05-14 21:28:00,6.0,88,0.0,4.1,253,3.3,0,0.0
20200515,clip_0_0000,5,2020-05-15 00:00:00,5.4,79,0.0,2.1,277,3.0,0,0.0
20200515,clip_28_1250,115,2020-05-15 12:50:00,11.9,55,0.0,3.1,291,6.8,819,10.0
20200515,clip_52_2357,115,2020-05-15 23:57:00,7.0,82,0.0,4.1,287,5.1,0,0.0
20200515,clip_15_0629,5,2020-05-15 06:29:00,8.8,71,0.0,3.9,284,5.1,424,9.5
20200515,clip_37_1701,115,2020-05-15 17:01:00,9.2,78,0.0,5.4,271,6.8,115,0.0
20200515,clip_11_0437,115,2020-05-15 04:37:00,6.7,75,0.0,2.6,287,4.3,76,0.0
20200515,clip_21_0917,5,2020-05-15 09:17:00,10.5,64,0.0,4.1,283,6.4,704,8.0
20200515,clip_33_1509,115,2020-05-15 15:09:00,10.6,64,0.0,4.1,278,7.4,602,10.0
20200515,clip_45_2041,115,2020-05-15 20:41:00,8.2,80,0.0,4.8,266,4.7,0,0.0
20200515,clip_7_0306,91,2020-05-15 03:06:00,5.8,76,0.0,1.8,277,3.7,6,0.0
20200515,clip_19_0821,5,2020-05-15 08:21:00,9.6,72,0.0,4.9,286,6.1,404,3.0
