Folder name,Clip Name,Image Number,DateTime,Temperature,Humidity,Precipitation,Dew Point,Wind Direction,Wind Speed,Sun Radiation Intensity,Min of sunshine latest 10 min
20200810,clip_0_0944,5,2020-08-10 09:44:00,23.9,48,0.0,12.1,354,1.8,704,10.0
20200810,clip_31_2356,115,2020-08-10 23:56:00,11.3,99,0.0,11.1,0,0.0,0,0.0
20200810,clip_19_1828,115,2020-08-10 18:28:00,20.0,70,0.0,14.3,326,1.4,71,10.0
20200810,clip_23_2012,5,2020-08-10 20:12:00,14.9,91,0.0,13.5,0,0.0,0,0.0
20200810,clip_11_1452,115,2020-08-10 14:52:00,23.8,56,0.0,14.5,338,3.8,575,10.0
20200810,clip_6_1232,5,2020-08-10 12:32:00,24.8,58,0.0,16.1,317,3.2,752,10.0
20200810,clip_27_2204,33,2020-08-10 22:04:00,13.0,97,0.0,12.6,356,0.7,0,0.0
20200810,clip_16_1704,26,2020-08-10 17:04:00,22.0,64,0.0,15.0,327,2.2,273,10.0
20200810,clip_21_1916,5,2020-08-10 19:16:00,16.7,80,0.0,13.2,349,1.6,4,0.0
20200810,clip_28_2232,109,2020-08-10 22:32:00,11.8,97,0.0,11.4,32,0.4,0,0.0
20200810,clip_2_1040,115,2020-08-10 10:40:00,24.3,50,0.0,13.3,348,1.9,741,10.0
20200810,clip_8_1328,115,2020-08-10 13:28:00,24.4,55,0.0,15.0,324,3.0,695,10.0
20200810,clip_14_1608,5,2020-08-10 16:08:00,22.8,60,0.0,14.7,339,2.5,391,10.0
20200810,clip_18_1800,5,2020-08-10 18:00:00,20.9,63,0.0,13.6,329,1.8,136,10.0
20200810,clip_25_2108,5,2020-08-10 21:08:00,13.7,96,0.0,13.1,346,0.6,0,0.0
20200811,clip_0_0000,5,2020-08-11 00:00:00,11.1,99,0.0,10.9,114,0.5,0,0.0
20200811,clip_37_1610,115,2020-08-11 16:10:00,23.3,60,0.0,15.1,113,3.8,385,10.0
20200811,clip_53_2327,115,2020-08-11 23:27:00,15.8,96,0.0,15.2,111,1.4,0,0.0
20200811,clip_15_0638,5,2020-08-11 06:38:00,18.0,95,0.0,17.2,128,2.9,226,3.0
20200811,clip_20_0858,5,2020-08-11 08:58:00,22.5,64,0.0,15.4,110,2.2,634,10.0
20200811,clip_43_1858,5,2020-08-11 18:58:00,19.2,77,0.0,15.1,99,1.5,9,0.0
20200811,clip_11_0446,5,2020-08-11 04:46:00,14.6,100,0.0,14.6,105,0.9,63,3.5
20200811,clip_9_0350,115,2020-08-11 03:50:00,11.0,100,0.0,11.0,0,0.0,4,0.0
20200811,clip_17_0734,5,2020-08-11 07:34:00,20.3,81,0.0,17.0,130,2.5,396,5.5
20200811,clip_29_1247,58,2020-08-11 12:47:00,22.3,69,0.0,16.4,110,3.9,541,6.0
20200811,clip_48_2107,5,2020-08-11 21:07:00,17.4,88,0.0,15.4,102,1.2,0,0.0
20200811,clip_13_0542,115,2020-08-11 05:42:00,16.2,100,0.0,16.2,104,0.9,161,6.0
20200811,clip_41_1802,5,2020-08-11 18:02:00,20.8,70,0.0,15.1,109,2.9,92,10.0
20200811,clip_4_0130,115,2020-08-11 01:30:00,12.1,99,0.0,11.9,90,0.3,0,0.0
20200811,clip_10_0418,5,2020-08-11 04:18:00,13.2,100,0.0,13.2,116,0.4,9,0.0
20200812,clip_0_0000,5,2020-08-12 00:00:00,15.8,97,0.0,15.2,102,1.2,0,0.0
20200812,clip_54_2350,115,2020-08-12 23:50:00,13.1,95,0.0,12.3,124,0.9,0,0.0
20200812,clip_32_1420,115,2020-08-12 14:20:00,24.3,35,0.0,8.0,115,4.1,618,10.0
20200812,clip_15_0656,88,2020-08-12 06:56:00,20.2,73,0.0,15.2,128,3.6,367,10.0
20200812,clip_43_1902,5,2020-08-12 19:02:00,18.0,71,0.0,12.7,106,1.4,7,0.0
20200812,clip_40_1738,5,2020-08-12 17:38:00,21.3,56,0.0,12.1,115,3.0,160,10.0
20200812,clip_20_0906,38,2020-08-12 09:06:00,23.1,40,0.0,8.6,122,3.9,653,10.0
20200812,clip_13_0600,5,2020-08-12 06:00:00,17.3,96,0.0,16.6,114,2.0,230,10.0
20200812,clip_46_2026,5,2020-08-12 20:26:00,15.1,86,0.0,12.8,118,0.8,0,0.0
20200812,clip_9_0408,115,2020-08-12 04:08:00,14.6,99,0.0,14.4,110,1.4,12,0.0
20200812,clip_24_1058,113,2020-08-12 10:58:00,24.6,38,0.0,9.4,144,4.2,759,10.0
20200812,clip_14_0628,115,2020-08-12 06:28:00,18.7,87,0.0,16.5,121,3.4,300,10.0
20200812,clip_36_1612,115,2020-08-12 16:12:00,23.2,47,0.0,11.2,118,3.6,383,10.0
20200812,clip_12_0532,44,2020-08-12 05:32:00,15.9,99,0.0,15.7,103,1.4,145,9.5
20200813,clip_0_0000,5,2020-08-13 00:00:00,12.9,96,0.0,12.2,119,1.2,0,0.0
20200813,clip_33_1435,115,2020-08-13 14:35:00,26.5,43,0.0,12.8,143,3.0,565,10.0
20200813,clip_54_2348,115,2020-08-13 23:48:00,13.1,96,0.0,12.4,0,0.0,0,0.0
20200813,clip_16_0709,115,2020-08-13 07:09:00,19.3,73,0.0,14.3,141,2.1,313,7.5
20200813,clip_42_1839,115,2020-08-13 18:39:00,20.5,57,0.0,11.8,111,1.1,36,0.5
20200813,clip_21_0926,5,2020-08-13 09:26:00,23.7,49,0.0,12.4,179,3.5,677,10.0
20200813,clip_13_0545,115,2020-08-13 05:45:00,14.9,98,0.0,14.5,107,1.9,137,3.0
20200813,clip_47_2032,5,2020-08-13 20:32:00,16.2,80,0.0,12.7,123,1.6,0,0.0
20200813,clip_39_1715,5,2020-08-13 17:15:00,23.4,46,0.0,11.0,144,3.6,200,10.0
20200813,clip_9_0353,115,2020-08-13 03:53:00,12.1,99,0.0,11.9,104,1.3,3,0.0
20200813,clip_25_1051,115,2020-08-13 10:51:00,25.6,43,0.0,12.0,148,3.5,765,10.0
20200813,clip_19_0833,5,2020-08-13 08:33:00,21.7,56,0.0,12.5,165,3.1,578,10.0
20200813,clip_43_1907,115,2020-08-13 19:07:00,18.6,63,0.0,11.5,118,1.4,5,0.0
20200813,clip_15_0641,115,2020-08-13 06:41:00,16.7,90,0.0,15.1,107,1.3,346,10.0
20200814,clip_0_0000,5,2020-08-14 00:00:00,12.6,96,0.0,12.0,109,0.6,0,0.0
