Folder name,Clip Name,Image Number,DateTime,Temperature,Humidity,Precipitation,Dew Point,Wind Direction,Wind Speed,Sun Radiation Intensity,Min of sunshine latest 10 min
20200514,clip_0_1331,5,2020-05-14 13:31:00,10.0,59,0.0,2.4,289,7.7,845,10.0
20200514,clip_23_2335,115,2020-05-14 23:35:00,5.5,77,0.0,1.9,274,3.3,0,0.0
20200514,clip_11_1812,5,2020-05-14 18:12:00,7.5,81,0.0,4.4,260,5.0,56,0.0
20200514,clip_16_2032,115,2020-05-14 20:32:00,6.5,89,0.0,4.8,257,3.2,0,0.0
20200514,clip_7_1647,5,2020-05-14 16:47:00,8.7,62,0.0,1.8,268,5.6,173,0.0
20200514,clip_4_1523,115,2020-05-14 15:23:00,9.8,50,0.0,0.0,279,7.7,579,10.0
20200515,clip_0_0000,5,2020-05-15 00:00:00,5.4,79,0.0,2.1,277,3.0,0,0.0
20200515,clip_28_1250,115,2020-05-15 12:50:00,11.9,55,0.0,3.1,291,6.8,819,10.0
20200515,clip_52_2357,115,2020-05-15 23:57:00,7.0,82,0.0,4.1,287,5.1,0,0.0
20200515,clip_15_0629,5,2020-05-15 06:29:00,8.8,71,0.0,3.9,284,5.1,424,9.5
20200515,clip_37_1701,115,2020-05-15 17:01:00,9.2,78,0.0,5.4,271,6.8,115,0.0
20200515,clip_11_0437,115,2020-05-15 04:37:00,6.7,75,0.0,2.6,287,4.3,76,0.0
20200516,clip_0_0000,5,2020-05-16 00:00:00,6.9,80,0.0,3.7,288,5.7,0,0.0
20200516,clip_35_1534,115,2020-05-16 15:34:00,9.0,59,0.0,1.4,273,8.4,546,7.0
20200516,clip_39_1726,115,2020-05-16 17:26:00,5.9,87,0.0,4.0,283,6.1,39,0.0
20200516,clip_16_0823,5,2020-05-16 08:23:00,8.2,78,0.0,4.6,287,6.6,610,8.0
20200516,clip_32_1424,5,2020-05-16 14:24:00,7.6,69,0.0,2.2,285,7.9,362,2.5
20200516,clip_13_0659,115,2020-05-16 06:59:00,6.3,88,0.0,4.5,290,5.2,218,1.0
20200517,clip_0_0004,5,2020-05-17 00:04:00,6.1,73,0.0,1.6,279,3.7,0,0.0
20200517,clip_51_2343,115,2020-05-17 23:43:00,5.7,88,0.0,3.8,294,3.0,0,0.0
20200517,clip_19_0853,115,2020-05-17 08:53:00,9.5,73,0.0,4.8,282,5.9,516,5.0
20200517,clip_35_1620,115,2020-05-17 16:20:00,7.6,86,0.0,5.4,272,4.5,45,0.0
20200517,clip_14_0633,59,2020-05-17 06:33:00,7.3,88,0.0,5.5,278,3.9,134,0.0
20200517,clip_26_1209,102,2020-05-17 12:09:00,8.5,83,0.0,5.7,292,6.6,155,0.0
20200518,clip_0_0000,5,2020-05-18 00:00:00,5.4,89,0.0,3.7,287,2.9,0,0.0
20200518,clip_53_2338,115,2020-05-18 23:38:00,8.7,98,0.0,8.4,281,3.8,0,0.0
20200518,clip_21_0931,5,2020-05-18 09:31:00,10.0,66,0.0,3.9,251,2.7,369,0.0
20200518,clip_7_0315,115,2020-05-18 03:15:00,2.5,91,0.0,1.2,0,0.0,12,0.0
20200518,clip_38_1702,115,2020-05-18 17:02:00,10.4,63,0.0,3.7,289,1.5,81,0.0
20200518,clip_12_0535,5,2020-05-18 05:35:00,8.2,73,0.0,3.6,294,1.5,319,10.0
20200519,clip_0_0000,5,2020-05-19 00:00:00,8.5,98,0.0,8.2,278,2.7,0,0.0
20200519,clip_54_2348,115,2020-05-19 23:48:00,5.1,97,0.0,4.7,231,1.5,0,0.0
20200519,clip_37_1642,115,2020-05-19 16:42:00,11.4,64,0.0,4.8,298,3.1,393,10.0
20200519,clip_44_1931,5,2020-05-19 19:31:00,8.0,86,0.0,5.8,277,2.3,10,0.0
20200519,clip_18_0806,115,2020-05-19 08:06:00,9.9,72,0.0,5.2,301,4.8,621,9.0
20200519,clip_13_0546,115,2020-05-19 05:46:00,7.3,90,0.0,5.8,275,4.3,125,0.0
